slugID	title	subtitle	roles	seriesid	videoOrder	copy	youtubeId	href	videoSrc	imageSrc	imageAlt	videoPoster	vertical
vesting-up	Vesting Up	Comedy Central Digital	Directing | Writer | Editing	comedy-central-originals	11		DJCgT1gw8nc						TRUE
whameo	Whameo	Comedy Central Digital ft. Sven Johnson	Directing | Writer | Editing	comedy-central-originals	8		GBG1KLVBQPA						
death-becomes-her-series	Death Becomes Her	RPM		branded-content	1	A series of BTS Social Promos for Broadway's Death Becomes Her.		series/death-becomes-her	/videos/dbh.mp4			/thumbposters/dbh.jpg	
garden-of-eden	Mark Fisher Fitness	Garden of Eden ft. Douglas Widick	Directing | Editing	branded-content	3	Social Promo for local gym	_oUdAdTUk0c		/videos/garden-of-eden.mp4				TRUE
Looking-like-a-snack	Combos	Lookin' Like a Snack ft. Akilah Hughes	Directing | Cinematography	branded-content	2	Branded spot for Combos	lMFubod8Gdc		/videos/looking-like-a-snack.mp4				
big-downer	The Big Downer	Spec PSA for Long Covid	Directing | Writing | Editing	shorts	4		PTo-3d7cco4		videos/bigdowner.mp4				
barstool	Barstool Survivor S4E3	Barstool Sports	Editing	barstool	2		uYB3IziD3Ls						
invitational	Internet Invitational Ep. 2	Barstool Sports	Editing	barstool	1		lN0jRqTlGeU						
survivor-2	Barstool Survivor S3E6	Barstool Sports	Editing	barstool	3		t5QW-IbdtzE						
Rizzle-1	Andy's Asian Afterlife Ep. 1	Rizzle's Asian Comedy Fest	Creator	asian-afterlife	1		iZDqZ6Bq1yI						TRUE
Rizzle-2	Andy's Asian Afterlife Ep. 2	Rizzle's Asian Comedy Fest	Creator	asian-afterlife	2		taRJ5K7Emdo						TRUE
Rizzle-3	Andy's Asian Afterlife Ep. 3	Rizzle's Asian Comedy Fest	Creator	asian-afterlife	3		HxXucJ6rFQA						TRUE
betterman	Better Man: Regent Street BTS		Editing	armada			h-bsM5kzFSA						
babes	Babes	Social Promos	Editing	armada			IhhD8l476-I						
immaculate	Immaculate	Social Promos	Editing	armada			yShigrHv-4g						
Apocalypse-1	Apocalypse Problems 1	SpoiledNYC ft. Gianmarco Soresi & Megan Sass	Directing | Cinematography | Editing	apocalypse-problems	1		X-u9YpCOkk4						
Apocalypse-gluten	Apocalypse Problems 2 - Gluten	SpoiledNYC ft. Gianmarco Soresi & Megan Sass	Directing | Cinematography | Editing	apocalypse-problems	2		klRZB8Q87oY						
Apocalypse-milk	Apocalypse Problems 3 - Milk	SpoiledNYC ft. Gianmarco Soresi & Megan Sass	Directing | Cinematography | Editing	apocalypse-problems	3		yeie8hpMldw						
interstellar	Interstellar in Real Life	PitTV	Directing | Writer | Editing	andys-originals			nl2-5DDL5nM						
securocam-3000	Securocam 3000	IFC Comedy Crib	Directing | Writing | Editing	andys-originals		Web series selected by NYTVF and IFC Comedy Crib.	_SRIskz2JOY						
dinner	Meeting the Parents	ft. Megan Sass, Jerah Milligan	Directing | Cinematography | Editing		7		ZGDTHeyeO-w						
projectiles	Projectile Intercept Math					Devlog of explaining projectile intercept math	MpUUsDDE1sI		/videos/intercepts.mp4				
election-science-duvergers-law	Duverger's Law	Center for Election Science	Directing | Editing			Volunteer work for election non-profit ElectionScience.org!	HpBRGXK-QNs						
architects-newspaper-interviews	Architect's Newspaper	Interview Series	Videographer & Editing			Videographer and editor for interviews on new architecture projects.	Bzhb1WBUNps						
directing-reel	Andy Zou's Comedy Directing Reel						bmKPJLfm4lk			/thumbposters/bmKPJLfm4lk-maxresdefault.jpg			
Long-distance	Long Distance Relationships	SpoiledNYC ft. Gianmarco Soresi & Megan Sass	Directing | Cinematography | Editing										
Royal-heart	Royal Heart	Choreo Hayden Frederick	Cinematography | Editing				zG2amIyE1Es						
three4	three4	ft. Yael Elisheva	Directing | Cinematography | Editing										
tootsies	Tootsie's Video Vault							https://tootsiesvideovault.com	/videos/tootsies.mp4			/thumbposters/tootsies.jpg	
uber	Uber	SpoiledNYC ft. Gianmarco Soresi & Megan Sass	Directing | Cinematography | Editing										
Wonderful-life	It's a Wonderful Life		Directing | Editing		9		_98xIvAvOhE						
class-88-3	Class of '88 Chuck D Teaser	Westbrook Studios	Editing		6		_daCOmHG9Ew						
archpaper-1	Barclays Center Green Roof	Architect's Newspaper	Cinematography | Editing	archpaper	1		bMMi2qBEVlc						
archpaper-2	Richard Meier Model Museum	Architect's Newspaper	Cinematography | Editing	archpaper	2		THuN-fAXkSI						
archpaper-3	The Beekman Construction	Architect's Newspaper	Cinematography | Editing	archpaper	3		_tz2K5f24ds						
